Date,PX_LAST,PX_VOLUME
2/10/15,19.95,6036
2/9/15,20.425,5982
2/6/15,20.075,9968
2/5/15,19.825,5497
2/4/15,20.275,5159
2/3/15,19.775,7920
2/2/15,20.025,9260
1/30/15,20.475,8105
1/29/15,19.625,7209
1/28/15,20.625,5941
1/27/15,19.125,7683
1/26/15,18.875,8634
1/23/15,19.375,7866
1/22/15,19.075,8686
1/21/15,19.475,12182
1/20/15,20.225,11499
1/16/15,20.175,10249
1/15/15,20.325,6866
1/14/15,19.825,12541
1/13/15,19.825,9592
1/12/15,19.625,7282
1/9/15,19.275,7767
1/8/15,18.525,5045
1/7/15,19.325,5842
1/6/15,19.95,9694
1/5/15,19.775,9737
1/2/15,19.075,7607
12/31/14,18.875,4727
12/30/14,18.175,3859
12/29/14,18.025,3877
12/26/14,17.975,2348
12/24/14,18.225,3021
12/23/14,18.075,4566
12/22/14,18.025,4221
12/19/14,18.15,9410
12/18/14,18.4,10015
12/17/14,18.7,23703
12/16/14,20.25,19233
12/15/14,19.7,20216
12/12/14,19.85,21356
12/11/14,19.65,19176
12/10/14,18.75,10293
12/9/14,17.8,7169
12/8/14,17.85,5893
12/5/14,17.4,5000
12/4/14,17.35,3356
12/3/14,17.5,5230
12/2/14,17.45,8472
12/1/14,18.25,6975
11/28/14,17.75,4286
11/26/14,17.65,5016
11/25/14,17.75,5892
11/24/14,17.7,4334
11/21/14,17.7,5077
11/20/14,17.7,3907
11/19/14,17.35,7111
11/18/14,17.15,9666
11/17/14,17.1,5743
11/14/14,17.1,4396
11/13/14,17.35,10167
11/12/14,17,3867
11/11/14,16.8,4369
11/10/14,16.95,6321
11/7/14,17.4,6266
11/6/14,17.35,7893
11/5/14,17.75,3960
11/4/14,17.95,5416
11/3/14,17.9,5785
10/31/14,17.75,6160
10/30/14,17.8,6111
10/29/14,17.7,8137
10/28/14,17.5,6327
10/27/14,18.15,7910
10/24/14,18.35,5879
10/23/14,18.55,7632
10/22/14,19.05,13176
10/21/14,18.35,18827
10/20/14,19.1,13997
10/17/14,19.55,12260
10/16/14,20.35,17814
10/15/14,20.9,31052
10/14/14,19.6,27893
10/13/14,20.25,22573
10/10/14,19.15,21216
10/9/14,18.1,16791
10/8/14,17.3,10179
