Date,ES1 Index (1.) 6M 100% Imp Vol,ES1 Index (2.) Hist Vol (180)
06/27/16,19.4291,15.68071327
06/24/16,19.1392,15.55007135
06/23/16,15.44,14.7219049
06/22/16,17.0575,14.67235774
06/21/16,16.5955,14.6761397
06/20/16,16.6616,14.79755919
06/17/16,17.6072,14.8794842
06/16/16,17.3226,14.88612426
06/15/16,17.7629,15.03247389
06/14/16,18.1208,15.03101976
06/13/16,18.1905,15.33907528
06/10/16,16.5494,15.30173035
06/09/16,15.4869,15.27740442
06/08/16,15.1323,15.27749586
06/07/16,15.1758,15.40030083
06/06/16,15.0902,15.40075983
06/03/16,15.1247,15.48881669
06/02/16,15.0583,15.49872454
06/01/16,15.2181,15.53402943
05/31/16,15.2936,15.60955715
05/27/16,14.9223,15.61454841
05/26/16,15.1836,15.622001
05/25/16,15.3112,15.62611755
05/24/16,15.6243,15.68037176
05/23/16,16.5613,15.81883188
05/20/16,16.5216,15.89179198
05/19/16,16.9036,15.87950793
05/18/16,16.7268,15.99185797
05/17/16,16.6452,16.33765093
05/16/16,16.0764,16.34647402
05/13/16,16.5005,16.30861488
05/12/16,16.1068,16.57937306
05/11/16,16.2747,17.07568318
05/10/16,15.6666,17.03300288
05/09/16,16.3065,18.13311966
05/06/16,16.419,18.42799956
05/05/16,16.8757,18.63036234
05/04/16,16.7366,18.66956086
05/03/16,16.441,18.662945
05/02/16,15.8009,18.6449116
04/29/16,16.3204,18.63075625
04/28/16,15.8356,18.61544549
04/27/16,15.1961,18.5871102
04/26/16,15.3295,18.62260735
04/25/16,15.5124,18.68211158
04/22/16,15.258,18.6847216
04/21/16,15.5446,18.70195372
04/20/16,15.0062,18.69146329
04/19/16,14.9967,18.695706
04/18/16,15.0832,18.69626691
04/15/16,15.5455,18.68590287
04/14/16,15.665,18.68624776
04/13/16,15.6789,18.70455898
04/12/16,16.288,18.71396118
04/11/16,16.9186,18.6862677
04/08/16,16.5387,18.72134801
04/07/16,16.8586,18.72519104
04/06/16,15.7167,18.67073311
04/05/16,16.4467,18.6305203
04/04/16,15.6774,18.60018623
04/01/16,15.2063,18.5957865
03/31/16,15.6437,18.59316601
03/30/16,15.4313,18.592609
03/29/16,15.7803,18.59199989
03/28/16,16.4946,18.61520735
03/24/16,16.4574,18.68737112
03/23/16,16.4469,18.68776782
03/22/16,16.073,18.77926192
03/21/16,15.9891,18.78728438
03/18/16,16.2243,18.78401829
03/17/16,16.2779,18.77424937
03/16/16,16.6475,18.78394888
03/15/16,17.3233,18.77314014
03/14/16,17.2088,18.9543496
03/11/16,17.3735,18.95470239
03/10/16,18.2144,18.8599176
03/09/16,18.2692,18.88308679
03/08/16,18.3891,18.87740125
03/07/16,17.628,18.84920974
03/04/16,17.5263,18.84940836
03/03/16,17.5313,18.90636156
03/02/16,17.7861,18.90074315
03/01/16,18.0922,18.91472796
02/29/16,19.6597,18.67400903
02/26/16,19.3115,18.67876728
02/25/16,19.0081,18.67477207
02/24/16,19.8459,18.69803221
02/23/16,20.0963,18.67461149
02/22/16,19.3015,18.65031546
02/19/16,20.172,18.59895145
02/18/16,20.5591,18.62111698
02/17/16,20.8175,18.62767271
02/16/16,21.9,18.49453763
02/12/16,22.9161,18.38281839
02/11/16,23.8039,18.25515813
02/10/16,22.8412,18.20442576
02/09/16,22.7875,18.23218911
02/08/16,22.5453,18.26027645
02/05/16,21.4353,18.20540799
02/04/16,20.4745,18.09967586
02/03/16,20.1272,18.09970673
02/02/16,20.2842,18.08318725
02/01/16,19.2036,17.97144911
01/29/16,19.1857,17.97150819
01/28/16,20.3966,17.74015664
01/27/16,20.8271,17.73466135
01/26/16,20.3677,17.68901919
01/25/16,21.072,17.61286323
01/22/16,20.2414,17.58344305
01/21/16,21.892,17.41303806
01/20/16,21.9474,17.41371462
01/19/16,21.3233,17.43410718
01/15/16,21.5064,17.44189241
01/14/16,20.12,17.32254027
01/13/16,21.0755,17.22124969
01/12/16,19.6391,17.02270453
01/11/16,20.1836,17.01334863
01/08/16,21.1557,17.01497435
01/07/16,20.3267,16.96937828
01/06/16,18.5953,16.66655218
01/05/16,17.9803,16.60626177
01/04/16,18.4494,16.60517429
12/31/15,17.3967,16.55692382
12/30/15,16.8978,16.5830391
12/29/15,16.4023,16.54946737
12/28/15,16.9547,16.49660762
12/24/15,16.9858,16.49831587
12/23/15,16.8805,16.50587443
12/22/15,17.3752,16.48448897
12/21/15,18.1771,16.44578552
12/18/15,18.9672,16.43064422
12/17/15,18.0456,16.43153014
12/16/15,17.0388,16.30122995
12/15/15,18.1052,16.2268021
12/14/15,18.923,16.15105104
12/11/15,19.5333,16.14807534
12/10/15,17.8341,16.00024601
12/09/15,17.8967,16.05145819
12/08/15,17.2677,16.02280154
12/07/15,16.4592,15.97265958
12/04/15,16.1859,16.0711518
12/03/15,17.295,15.93214586
12/02/15,16.4402,15.83646491
12/01/15,15.9249,15.80808662
11/30/15,16.7324,15.77499516
11/27/15,16.3581,15.83562275
11/25/15,16.4091,15.83569274
11/24/15,16.5554,15.91126763
11/23/15,16.7676,15.93374687
11/20/15,16.4931,15.99563829
11/19/15,16.9686,15.98745462
11/18/15,16.4868,16.12526997
11/17/15,17.3433,16.0293683
11/16/15,17.2935,16.11585019
11/13/15,18.3342,16.01918402
11/12/15,17.3698,15.9737907
11/11/15,16.2707,15.89570097
