Date,ES_PX_LAST,ES_DAILY_RETURN,ES_PX_VOLUME
7/30/15,2103.75,0.001070664,1285647
7/29/15,2101.5,0.006827165,1394145
7/28/15,2087.25,0.011019617,1721554
7/27/15,2064.5,-0.006257521,1777544
7/24/15,2077.5,-0.010007148,1669215
7/23/15,2098.5,-0.004506641,1436236
7/22/15,2108,-0.003074013,1224253
7/21/15,2114.5,-0.003534402,1203968
7/20/15,2122,0.001533923,937349
7/17/15,2118.75,0.000826641,889189
7/16/15,2117,0.006059166,1096207
7/15/15,2104.25,0.001070409,1144204
7/14/15,2102,0.003580807,953155
7/13/15,2094.5,0.012324795,1333093
7/10/15,2069,0.013594611,1572505
7/9/15,2041.25,0.000980753,1980885
7/8/15,2039.25,-0.016636528,2388595
7/7/15,2073.75,0.004480504,2529599
7/6/15,2064.5,-0.002054381,1857384
7/2/15,2068.75,-0.001086432,1247290
7/1/15,2071,0.008031151,1493202
6/30/15,2054.5,0.001950744,2355919
6/29/15,2050.5,-0.021591316,2287339
6/26/15,2095.75,0.000835721,1318744
6/25/15,2094,-0.002619671,1213961
6/24/15,2099.5,-0.008032129,1153248
6/23/15,2116.5,0.001774938,835219
6/22/15,2112.75,-0.002059411,1095590
6/19/15,2117.11,-0.002774376,46686
6/18/15,2123,0.01215733,430371
6/17/15,2097.5,0,549464
6/16/15,2097.5,0.006477927,790233
6/15/15,2084,-0.004300048,1077154
6/12/15,2093,-0.00770416,1130566
6/11/15,2109.25,0.001067869,1480391
6/10/15,2107,0.012980769,1664080
6/9/15,2080,0.000842055,1446234
6/8/15,2078.25,-0.006691361,1290580
6/5/15,2092.25,-0.003215817,1459933
6/4/15,2099,-0.008034026,1716475
6/3/15,2116,0.004390649,1310989
6/2/15,2106.75,-0.001185255,1442673
6/1/15,2109.25,0.00154321,1337694
5/29/15,2106,-0.007423118,1689212
5/28/15,2121.75,0.000353607,1074890
5/27/15,2121,0.00760095,1288328
5/26/15,2105,-0.00917863,1585923
5/22/15,2124.5,-0.001644737,765874
5/21/15,2128,0.002591284,792875
5/20/15,2122.5,-0.000941398,1009770
5/19/15,2124.5,-0.00070555,994750
5/18/15,2126,0.003303445,913154
5/15/15,2119,0.000708383,1023198
5/14/15,2117.5,0.010981141,1101487
5/13/15,2094.5,-0.000238663,1335896
5/12/15,2095,-0.001310928,1472548
5/11/15,2097.75,-0.005098411,1145379
5/8/15,2108.5,0.011634881,1377057
5/7/15,2084.25,0.00482102,1433321
5/6/15,2074.25,-0.004678503,1754960
5/5/15,2084,-0.01197108,1588014
